	leading razor protein	identifier	Cellular component (annotation)	Cellular component (ID)	source
311	Q14204	DYNC1H1~Q14204	axon cytoplasm	GO:1904115	UniProt
312	Q14204	DYNC1H1~Q14204	axonemal dynein complex	GO:0005858	UniProt
313	Q14204	DYNC1H1~Q14204	azurophil granule lumen	GO:0035578	UniProt
314	Q14204	DYNC1H1~Q14204	cell cortex	GO:0005938	UniProt
315	Q14204	DYNC1H1~Q14204	centrosome	GO:0005813	UniProt
316	Q14204	DYNC1H1~Q14204	cytoplasmic dynein complex	GO:0005868	UniProt
317	Q14204	DYNC1H1~Q14204	cytoplasmic microtubule	GO:0005881	UniProt
318	Q14204	DYNC1H1~Q14204	cytosol	GO:0005829	UniProt
319	Q14204	DYNC1H1~Q14204	dynein complex	GO:0030286	UniProt
320	Q14204	DYNC1H1~Q14204	extracellular exosome	GO:0070062	UniProt
321	Q14204	DYNC1H1~Q14204	extracellular region	GO:0005576	UniProt
322	Q14204	DYNC1H1~Q14204	filopodium	GO:0030175	UniProt
323	Q14204	DYNC1H1~Q14204	membrane	GO:0016020	UniProt
324	Q14204	DYNC1H1~Q14204	microtubule	GO:0005874	UniProt
325	A0A2R8Y5V9	TPM4~A0A2R8Y5V9	actin filament	GO:0005884	UniProt
326	P62263	RPS14~P62263	cytoplasm	GO:0005737	UniProt
327	P62263	RPS14~P62263	cytosol	GO:0005829	UniProt
328	P62263	RPS14~P62263	cytosolic ribosome	GO:0022626	UniProt
329	P62263	RPS14~P62263	cytosolic small ribosomal subunit	GO:0022627	UniProt
330	P62263	RPS14~P62263	extracellular exosome	GO:0070062	UniProt
331	P62263	RPS14~P62263	focal adhesion	GO:0005925	UniProt
332	P62263	RPS14~P62263	membrane	GO:0016020	UniProt
333	P62263	RPS14~P62263	nucleolus	GO:0005730	UniProt
334	P62263	RPS14~P62263	nucleoplasm	GO:0005654	UniProt
335	P62263	RPS14~P62263	postsynaptic density	GO:0014069	UniProt
336	P62263	RPS14~P62263	small-subunit processome	GO:0032040	UniProt
337	A0A2R8Y851	RPS29~A0A2R8Y851	cytosolic small ribosomal subunit	GO:0022627	UniProt
338	P11171	EPB41~P11171	basolateral plasma membrane	GO:0016323	UniProt
339	P11171	EPB41~P11171	cell cortex	GO:0005938	UniProt
340	P11171	EPB41~P11171	cell junction	GO:0030054	UniProt
341	P11171	EPB41~P11171	cortical cytoskeleton	GO:0030863	UniProt
342	P11171	EPB41~P11171	cytoplasmic side of plasma membrane	GO:0009898	UniProt
343	P11171	EPB41~P11171	cytoskeleton	GO:0005856	UniProt
344	P11171	EPB41~P11171	cytosol	GO:0005829	UniProt
345	P11171	EPB41~P11171	intercellular bridge	GO:0045171	UniProt
346	P11171	EPB41~P11171	mitotic spindle	GO:0072686	UniProt
347	P11171	EPB41~P11171	nuclear body	GO:0016604	UniProt
348	P11171	EPB41~P11171	plasma membrane	GO:0005886	UniProt
349	P11171	EPB41~P11171	protein-containing complex	GO:0032991	UniProt
350	P11171	EPB41~P11171	spectrin-associated cytoskeleton	GO:0014731	UniProt
351	A0A2R8YD50	HSD17B4~A0A2R8YD50	peroxisome	GO:0005777	UniProt
352	P68400	CSNK2A1~P68400	cytosol	GO:0005829	UniProt
353	P68400	CSNK2A1~P68400	nucleoplasm	GO:0005654	UniProt
354	P68400	CSNK2A1~P68400	nucleus	GO:0005634	UniProt
355	P68400	CSNK2A1~P68400	plasma membrane	GO:0005886	UniProt
356	P68400	CSNK2A1~P68400	PML body	GO:0016605	UniProt
357	P68400	CSNK2A1~P68400	protein kinase CK2 complex	GO:0005956	UniProt
358	P68400	CSNK2A1~P68400	Sin3-type complex	GO:0070822	UniProt
359	P56556	NDUFA6~P56556	mitochondrial inner membrane	GO:0005743	UniProt
360	P56556	NDUFA6~P56556	mitochondrial membrane	GO:0031966	UniProt
361	P56556	NDUFA6~P56556	mitochondrial respiratory chain complex I	GO:0005747	UniProt
362	A0A384DVU0	PNPLA6~A0A384DVU0	cytosol	GO:0005829	UniProt
363	A0A384DVU0	PNPLA6~A0A384DVU0	endoplasmic reticulum	GO:0005783	UniProt
364	A0A384DVU0	PNPLA6~A0A384DVU0	endoplasmic reticulum membrane	GO:0005789	UniProt
365	P05062	ALDOB~P05062	centriolar satellite	GO:0034451	UniProt
366	P05062	ALDOB~P05062	cytosol	GO:0005829	UniProt
367	P05062	ALDOB~P05062	extracellular exosome	GO:0070062	UniProt
368	P05062	ALDOB~P05062	microtubule organizing center	GO:0005815	UniProt
369	A0A7I2V2P6	IDE~A0A7I2V2P6	cytosol	GO:0005829	UniProt
370	A0A7I2V2P6	IDE~A0A7I2V2P6	mitochondrion	GO:0005739	UniProt
371	A0A7I2V2P6	IDE~A0A7I2V2P6	peroxisomal matrix	GO:0005782	UniProt
372	A0A3B3ISM6	UROS~A0A3B3ISM6	cytosol	GO:0005829	UniProt
373	A0A3B3ISR2	C1R~A0A3B3ISR2	blood microparticle	GO:0072562	UniProt
374	E9PG39	AGK~E9PG39	mitochondrial inner membrane	GO:0005743	UniProt
375	E9PG39	AGK~E9PG39	mitochondrial intermembrane space	GO:0005758	UniProt
376	A0A3B3ITF0	DCPS~A0A3B3ITF0	nucleus	GO:0005634	UniProt
377	A0A3B3ITF0	DCPS~A0A3B3ITF0	P-body	GO:0000932	UniProt
378	A0A3B3ITJ4	HNRNPL~A0A3B3ITJ4	nucleus	GO:0005634	UniProt
379	A0A3B3ITT5	RPL29~A0A3B3ITT5	cytosolic large ribosomal subunit	GO:0022625	UniProt
380	A0A3B3ITW3	ABCD3~A0A3B3ITW3	intracellular membrane-bounded organelle	GO:0043231	UniProt
381	A0A3B3ITW3	ABCD3~A0A3B3ITW3	peroxisomal membrane	GO:0005778	UniProt
382	A0A3B3ITW3	ABCD3~A0A3B3ITW3	peroxisome	GO:0005777	UniProt
383	A0A8I5KT86	ATP5MG~A0A8I5KT86	mitochondrial proton-transporting ATP synthase complex, coupling factor F(o)	GO:0000276	UniProt
384	A0A8I5KT86	ATP5MG~A0A8I5KT86	mitochondrion	GO:0005739	UniProt
385	A0A3B3IUB5	HM13~A0A3B3IUB5	cytoplasmic side of endoplasmic reticulum membrane	GO:0098554	UniProt
386	A0A3B3IUB5	HM13~A0A3B3IUB5	endoplasmic reticulum	GO:0005783	UniProt
387	A0A3B3IUB5	HM13~A0A3B3IUB5	lumenal side of endoplasmic reticulum membrane	GO:0098553	UniProt
388	I3L2B0	CLUH~I3L2B0	cytoplasm	GO:0005737	UniProt
389	A0A494C128	NOP56~A0A494C128	box C/D RNP complex	GO:0031428	UniProt
390	A0A494C128	NOP56~A0A494C128	nucleolus	GO:0005730	UniProt
391	A0A494C128	NOP56~A0A494C128	nucleoplasm	GO:0005654	UniProt
392	A0A494C128	NOP56~A0A494C128	small-subunit processome	GO:0032040	UniProt
393	A0A494C146	PPOX~A0A494C146	mitochondrial inner membrane	GO:0005743	UniProt
394	J3KQ69	MCM3~J3KQ69	centrosome	GO:0005813	UniProt
395	J3KQ69	MCM3~J3KQ69	chromosome	GO:0005694	UniProt
396	J3KQ69	MCM3~J3KQ69	MCM complex	GO:0042555	UniProt
397	J3KQ69	MCM3~J3KQ69	nucleoplasm	GO:0005654	UniProt
398	A0A4W8ZXM2	IGHV3-72~A0A4W8ZXM2	blood microparticle	GO:0072562	UniProt
399	A0A4W8ZXM2	IGHV3-72~A0A4W8ZXM2	immunoglobulin complex	GO:0019814	UniProt
400	A0A4W8ZXM2	IGHV3-72~A0A4W8ZXM2	plasma membrane	GO:0005886	UniProt
401	A0A590UJK4	SRSF6~A0A590UJK4	cytoplasm	GO:0005737	UniProt
402	A0A590UJK4	SRSF6~A0A590UJK4	nucleus	GO:0005634	UniProt
403	M0QX65	SAE1~M0QX65	cytoplasm	GO:0005737	UniProt
404	M0QX65	SAE1~M0QX65	nucleoplasm	GO:0005654	UniProt
405	M0QX65	SAE1~M0QX65	SUMO activating enzyme complex	GO:0031510	UniProt
406	A0A5F9YFS9	SPCS1~A0A5F9YFS9	signal peptidase complex	GO:0005787	UniProt
407	Q9NTJ5	SACM1L~Q9NTJ5	endoplasmic reticulum	GO:0005783	UniProt
408	Q9NTJ5	SACM1L~Q9NTJ5	endoplasmic reticulum membrane	GO:0005789	UniProt
409	Q9NTJ5	SACM1L~Q9NTJ5	endoplasmic reticulum-plasma membrane contact site	GO:0140268	UniProt
410	Q9NTJ5	SACM1L~Q9NTJ5	Golgi apparatus	GO:0005794	UniProt
411	Q9NTJ5	SACM1L~Q9NTJ5	Golgi membrane	GO:0000139	UniProt
412	A0A5H1ZRQ7	IGLC7~A0A5H1ZRQ7	extracellular region	GO:0005576	UniProt
413	A0A669KAX9	None~A0A669KAX9	cytosolic large ribosomal subunit	GO:0022625	UniProt
414	A0A669KAX9	None~A0A669KAX9	mitochondrial large ribosomal subunit	GO:0005762	UniProt
415	O60716	CTNND1~O60716	adherens junction	GO:0005912	UniProt
416	O60716	CTNND1~O60716	catenin complex	GO:0016342	UniProt
417	O60716	CTNND1~O60716	cell surface	GO:0009986	UniProt
418	O60716	CTNND1~O60716	cell-cell junction	GO:0005911	UniProt
419	O60716	CTNND1~O60716	cytoplasm	GO:0005737	UniProt
420	O60716	CTNND1~O60716	cytosol	GO:0005829	UniProt
421	O60716	CTNND1~O60716	dendritic spine	GO:0043197	UniProt
422	O60716	CTNND1~O60716	extracellular exosome	GO:0070062	UniProt
423	O60716	CTNND1~O60716	glutamatergic synapse	GO:0098978	UniProt
424	O60716	CTNND1~O60716	growth cone	GO:0030426	UniProt
425	O60716	CTNND1~O60716	hippocampal mossy fiber to CA3 synapse	GO:0098686	UniProt
426	O60716	CTNND1~O60716	lamellipodium	GO:0030027	UniProt
427	O60716	CTNND1~O60716	midbody	GO:0030496	UniProt
428	O60716	CTNND1~O60716	nucleus	GO:0005634	UniProt
429	O60716	CTNND1~O60716	plasma membrane	GO:0005886	UniProt
430	O60716	CTNND1~O60716	postsynaptic density, intracellular component	GO:0099092	UniProt
431	O60716	CTNND1~O60716	presynaptic active zone cytoplasmic component	GO:0098831	UniProt
432	O60716	CTNND1~O60716	Schaffer collateral - CA1 synapse	GO:0098685	UniProt
433	O60716	CTNND1~O60716	zonula adherens	GO:0005915	UniProt
434	Q92538	GBF1~Q92538	cell leading edge	GO:0031252	UniProt
435	Q92538	GBF1~Q92538	cis-Golgi network	GO:0005801	UniProt
436	Q92538	GBF1~Q92538	cytosol	GO:0005829	UniProt
437	Q92538	GBF1~Q92538	endoplasmic reticulum-Golgi intermediate compartment	GO:0005793	UniProt
438	Q92538	GBF1~Q92538	Golgi apparatus	GO:0005794	UniProt
439	Q92538	GBF1~Q92538	Golgi membrane	GO:0000139	UniProt
440	Q92538	GBF1~Q92538	lipid droplet	GO:0005811	UniProt
441	Q92538	GBF1~Q92538	membrane	GO:0016020	UniProt
442	Q92538	GBF1~Q92538	trans-Golgi network	GO:0005802	UniProt
443	A0A669KBH7	DUS4L-BCAP29~A0A669KBH7	endoplasmic reticulum membrane	GO:0005789	UniProt
444	E7EPV7	SNCA~E7EPV7	axon terminus	GO:0043679	UniProt
445	E7EPV7	SNCA~E7EPV7	cytoplasm	GO:0005737	UniProt
446	E7EPV7	SNCA~E7EPV7	extracellular region	GO:0005576	UniProt
447	E7EPV7	SNCA~E7EPV7	membrane	GO:0016020	UniProt
448	E7EPV7	SNCA~E7EPV7	neuronal cell body	GO:0043025	UniProt
449	E7EPV7	SNCA~E7EPV7	nucleus	GO:0005634	UniProt
450	A0A669KBL1	USP7~A0A669KBL1	cytosol	GO:0005829	UniProt
451	A0A669KBL1	USP7~A0A669KBL1	nucleus	GO:0005634	UniProt
452	A0A6I8PTZ8	AGO1~A0A6I8PTZ8	cytoplasmic ribonucleoprotein granule	GO:0036464	UniProt
453	A0A6I8PTZ8	AGO1~A0A6I8PTZ8	cytosol	GO:0005829	UniProt
454	A0A6I8PTZ8	AGO1~A0A6I8PTZ8	P-body	GO:0000932	UniProt
455	A0A6I8PTZ8	AGO1~A0A6I8PTZ8	ribonucleoprotein complex	GO:1990904	UniProt
456	O95163	ELP1~O95163	cytoplasm	GO:0005737	UniProt
457	O95163	ELP1~O95163	cytosol	GO:0005829	UniProt
458	O95163	ELP1~O95163	elongator holoenzyme complex	GO:0033588	UniProt
459	O95163	ELP1~O95163	nucleus	GO:0005634	UniProt
460	Q96S66	CLCC1~Q96S66	chloride channel complex	GO:0034707	UniProt
461	Q96S66	CLCC1~Q96S66	endoplasmic reticulum	GO:0005783	UniProt
462	Q96S66	CLCC1~Q96S66	endoplasmic reticulum membrane	GO:0005789	UniProt
463	Q96S66	CLCC1~Q96S66	Golgi membrane	GO:0000139	UniProt
464	Q96S66	CLCC1~Q96S66	intracellular membrane-bounded organelle	GO:0043231	UniProt
465	Q96S66	CLCC1~Q96S66	membrane	GO:0016020	UniProt
466	Q96S66	CLCC1~Q96S66	mitochondria-associated endoplasmic reticulum membrane	GO:0044233	UniProt
467	Q96S66	CLCC1~Q96S66	nuclear membrane	GO:0031965	UniProt
468	O95831	AIFM1~O95831	cytoplasm	GO:0005737	UniProt
469	O95831	AIFM1~O95831	cytosol	GO:0005829	UniProt
470	O95831	AIFM1~O95831	mitochondrial inner membrane	GO:0005743	UniProt
471	O95831	AIFM1~O95831	mitochondrial intermembrane space	GO:0005758	UniProt
472	O95831	AIFM1~O95831	mitochondrion	GO:0005739	UniProt
473	O95831	AIFM1~O95831	nucleus	GO:0005634	UniProt
474	O95831	AIFM1~O95831	perinuclear region of cytoplasm	GO:0048471	UniProt
475	A0A6Q8PFU3	PAFAH1B1~A0A6Q8PFU3	centrosome	GO:0005813	UniProt
476	A0A6Q8PFU3	PAFAH1B1~A0A6Q8PFU3	cytoplasmic microtubule	GO:0005881	UniProt
477	A0A6Q8PFU3	PAFAH1B1~A0A6Q8PFU3	kinetochore	GO:0000776	UniProt
478	A0A6Q8PFU3	PAFAH1B1~A0A6Q8PFU3	microtubule associated complex	GO:0005875	UniProt
479	A0A6Q8PFU3	PAFAH1B1~A0A6Q8PFU3	neuron projection	GO:0043005	UniProt
480	A0A6Q8PFU3	PAFAH1B1~A0A6Q8PFU3	neuronal cell body	GO:0043025	UniProt
481	A0A6Q8PFU3	PAFAH1B1~A0A6Q8PFU3	nuclear membrane	GO:0031965	UniProt
482	A0A6Q8PFU3	PAFAH1B1~A0A6Q8PFU3	spindle	GO:0005819	UniProt
483	A0A6Q8PFY7	TFG~A0A6Q8PFY7	cytosol	GO:0005829	UniProt
484	A0A6Q8PFY7	TFG~A0A6Q8PFY7	endoplasmic reticulum exit site	GO:0070971	UniProt
485	A0A6Q8PFY7	TFG~A0A6Q8PFY7	intracellular membrane-bounded organelle	GO:0043231	UniProt
486	P41250	GARS1~P41250	axon	GO:0030424	UniProt
487	P41250	GARS1~P41250	cytoplasm	GO:0005737	UniProt
488	P41250	GARS1~P41250	cytosol	GO:0005829	UniProt
489	P41250	GARS1~P41250	extracellular exosome	GO:0070062	UniProt
490	P41250	GARS1~P41250	mitochondrial matrix	GO:0005759	UniProt
491	P41250	GARS1~P41250	mitochondrion	GO:0005739	UniProt
492	P41250	GARS1~P41250	secretory granule	GO:0030141	UniProt
493	A0A6Q8PGB0	POLR2A~A0A6Q8PGB0	euchromatin	GO:0000791	UniProt
494	A0A6Q8PGB0	POLR2A~A0A6Q8PGB0	nucleoplasm	GO:0005654	UniProt
495	A0A6Q8PGB0	POLR2A~A0A6Q8PGB0	RNA polymerase II, core complex	GO:0005665	UniProt
496	B3KXX3	SLC12A6~B3KXX3	plasma membrane	GO:0005886	UniProt
497	A0A6Q8PHC6	GATM~A0A6Q8PHC6	mitochondrial inner membrane	GO:0005743	UniProt
498	A0A6Q8PHC6	GATM~A0A6Q8PHC6	mitochondrion	GO:0005739	UniProt
499	A0A7I2V2D2	SERPING1~A0A7I2V2D2	extracellular space	GO:0005615	UniProt
500	A0A7I2V2G2	HSPA9~A0A7I2V2G2	mitochondrion	GO:0005739	UniProt
501	O14980	XPO1~O14980	annulate lamellae	GO:0005642	UniProt
502	O14980	XPO1~O14980	Cajal body	GO:0015030	UniProt
503	O14980	XPO1~O14980	cytoplasm	GO:0005737	UniProt
504	O14980	XPO1~O14980	cytosol	GO:0005829	UniProt
505	O14980	XPO1~O14980	intracellular membrane-bounded organelle	GO:0043231	UniProt
506	O14980	XPO1~O14980	kinetochore	GO:0000776	UniProt
507	O14980	XPO1~O14980	membrane	GO:0016020	UniProt
508	O14980	XPO1~O14980	nuclear envelope	GO:0005635	UniProt
509	O14980	XPO1~O14980	nuclear membrane	GO:0031965	UniProt
510	O14980	XPO1~O14980	nucleolus	GO:0005730	UniProt
511	O14980	XPO1~O14980	nucleoplasm	GO:0005654	UniProt
512	O14980	XPO1~O14980	nucleus	GO:0005634	UniProt
513	O14980	XPO1~O14980	protein-containing complex	GO:0032991	UniProt
514	O14980	XPO1~O14980	ribonucleoprotein complex	GO:1990904	UniProt
515	A0A7I2V2H9	EIF3E~A0A7I2V2H9	cytosol	GO:0005829	UniProt
516	A0A7I2V2H9	EIF3E~A0A7I2V2H9	eukaryotic 43S preinitiation complex	GO:0016282	UniProt
517	A0A7I2V2H9	EIF3E~A0A7I2V2H9	eukaryotic 48S preinitiation complex	GO:0033290	UniProt
518	A0A7I2V2H9	EIF3E~A0A7I2V2H9	eukaryotic translation initiation factor 3 complex, eIF3e	GO:0071540	UniProt
519	A0A7I2V2H9	EIF3E~A0A7I2V2H9	PML body	GO:0016605	UniProt
520	F8VZJ2	NACA~F8VZJ2	nascent polypeptide-associated complex	GO:0005854	UniProt
521	A0A7I2YQT5	CTSC~A0A7I2YQT5	centrosome	GO:0005813	UniProt
522	A0A7I2YQT5	CTSC~A0A7I2YQT5	extracellular space	GO:0005615	UniProt
523	A0A7I2YQT5	CTSC~A0A7I2YQT5	intracellular membrane-bounded organelle	GO:0043231	UniProt
524	A0A7I2YQT5	CTSC~A0A7I2YQT5	lysosome	GO:0005764	UniProt
525	A0A7I2YQT5	CTSC~A0A7I2YQT5	nucleoplasm	GO:0005654	UniProt
526	A0A7I2V2R3	HNRNPA3~A0A7I2V2R3	catalytic step 2 spliceosome	GO:0071013	UniProt
527	E7ETK5	IMPDH2~E7ETK5	cytosol	GO:0005829	UniProt
528	E7ETK5	IMPDH2~E7ETK5	nucleus	GO:0005634	UniProt
529	A0A7I2V4N1	HNRNPA2B1~A0A7I2V4N1	catalytic step 2 spliceosome	GO:0071013	UniProt
530	A0A7I2YQ95	KPNA4~A0A7I2YQ95	cytoplasm	GO:0005737	UniProt
531	A0A7I2YQ95	KPNA4~A0A7I2YQ95	nuclear membrane	GO:0031965	UniProt
532	A0A7I2YQ95	KPNA4~A0A7I2YQ95	nucleoplasm	GO:0005654	UniProt
533	Q8WVM8	SCFD1~Q8WVM8	cis-Golgi network	GO:0005801	UniProt
534	Q8WVM8	SCFD1~Q8WVM8	cytosol	GO:0005829	UniProt
535	Q8WVM8	SCFD1~Q8WVM8	endoplasmic reticulum membrane	GO:0005789	UniProt
536	Q8WVM8	SCFD1~Q8WVM8	Golgi cisterna membrane	GO:0032580	UniProt
537	Q8WVM8	SCFD1~Q8WVM8	Golgi membrane	GO:0000139	UniProt
538	Q8WVM8	SCFD1~Q8WVM8	Golgi-associated vesicle	GO:0005798	UniProt
539	Q8WVM8	SCFD1~Q8WVM8	plasma membrane	GO:0005886	UniProt
540	P09651	HNRNPA1~P09651	catalytic step 2 spliceosome	GO:0071013	UniProt
541	P09651	HNRNPA1~P09651	cytoplasm	GO:0005737	UniProt
542	P09651	HNRNPA1~P09651	cytosol	GO:0005829	UniProt
543	P09651	HNRNPA1~P09651	extracellular exosome	GO:0070062	UniProt
544	P09651	HNRNPA1~P09651	membrane	GO:0016020	UniProt
545	P09651	HNRNPA1~P09651	nucleoplasm	GO:0005654	UniProt
546	P09651	HNRNPA1~P09651	nucleus	GO:0005634	UniProt
547	P09651	HNRNPA1~P09651	ribonucleoprotein complex	GO:1990904	UniProt
548	P09651	HNRNPA1~P09651	spliceosomal complex	GO:0005681	UniProt
549	A0A7I2YQL2	BTF3~A0A7I2YQL2	cytosol	GO:0005829	UniProt
550	A0A7I2YQL2	BTF3~A0A7I2YQL2	nascent polypeptide-associated complex	GO:0005854	UniProt
551	Q13347	EIF3I~Q13347	cytosol	GO:0005829	UniProt
552	Q13347	EIF3I~Q13347	eukaryotic 43S preinitiation complex	GO:0016282	UniProt
553	Q13347	EIF3I~Q13347	eukaryotic 48S preinitiation complex	GO:0033290	UniProt
554	Q13347	EIF3I~Q13347	eukaryotic translation initiation factor 3 complex	GO:0005852	UniProt
555	Q13347	EIF3I~Q13347	eukaryotic translation initiation factor 3 complex, eIF3m	GO:0071541	UniProt
556	Q13347	EIF3I~Q13347	extracellular exosome	GO:0070062	UniProt
557	Q13347	EIF3I~Q13347	synapse	GO:0045202	UniProt
558	A0A7I2V428	NCL~A0A7I2V428	chromosome	GO:0005694	UniProt
559	A0A7I2V428	NCL~A0A7I2V428	cytoplasmic ribonucleoprotein granule	GO:0036464	UniProt
560	A0A7I2V428	NCL~A0A7I2V428	nucleolus	GO:0005730	UniProt
561	A0A7I2V428	NCL~A0A7I2V428	nucleoplasm	GO:0005654	UniProt
562	A0A7I2V430	DDX1~A0A7I2V430	cytosol	GO:0005829	UniProt
563	A0A7I2V430	DDX1~A0A7I2V430	mitochondrion	GO:0005739	UniProt
564	A0A7I2V430	DDX1~A0A7I2V430	nucleolus	GO:0005730	UniProt
565	A0A7I2V430	DDX1~A0A7I2V430	nucleoplasm	GO:0005654	UniProt
566	A0A7I2V668	CTSB~A0A7I2V668	apical plasma membrane	GO:0016324	UniProt
567	A0A7I2V668	CTSB~A0A7I2V668	extracellular space	GO:0005615	UniProt
568	A0A7I2V668	CTSB~A0A7I2V668	lysosome	GO:0005764	UniProt
569	A0A7I2V4K5	CTSA~A0A7I2V4K5	intracellular membrane-bounded organelle	GO:0043231	UniProt
570	A0A7I2V4L7	PABPC4~A0A7I2V4L7	cytosol	GO:0005829	UniProt
571	A0A7I2V4L7	PABPC4~A0A7I2V4L7	nucleus	GO:0005634	UniProt
572	A0A7I2V4L7	PABPC4~A0A7I2V4L7	ribonucleoprotein complex	GO:1990904	UniProt
573	A0A7I2V4T6	NOMO3~A0A7I2V4T6	endoplasmic reticulum membrane	GO:0005789	UniProt
574	A0A7I2V4X8	NDUFS2~A0A7I2V4X8	mitochondrial respiratory chain complex I	GO:0005747	UniProt
575	A0A7I2V4X8	NDUFS2~A0A7I2V4X8	mitochondrion	GO:0005739	UniProt
576	A0A7I2V4X8	NDUFS2~A0A7I2V4X8	nucleoplasm	GO:0005654	UniProt
577	O60506	SYNCRIP~O60506	catalytic step 2 spliceosome	GO:0071013	UniProt
578	O60506	SYNCRIP~O60506	CRD-mediated mRNA stability complex	GO:0070937	UniProt
579	O60506	SYNCRIP~O60506	cytosol	GO:0005829	UniProt
580	O60506	SYNCRIP~O60506	endoplasmic reticulum	GO:0005783	UniProt
581	O60506	SYNCRIP~O60506	GAIT complex	GO:0097452	UniProt
582	O60506	SYNCRIP~O60506	histone pre-mRNA 3'end processing complex	GO:0071204	UniProt
583	O60506	SYNCRIP~O60506	mCRD-mediated mRNA stability complex	GO:0106002	UniProt
584	O60506	SYNCRIP~O60506	membrane	GO:0016020	UniProt
585	O60506	SYNCRIP~O60506	mRNA editing complex	GO:0045293	UniProt
586	O60506	SYNCRIP~O60506	nucleoplasm	GO:0005654	UniProt
587	O60506	SYNCRIP~O60506	nucleus	GO:0005634	UniProt
588	O60506	SYNCRIP~O60506	ribonucleoprotein complex	GO:1990904	UniProt
589	Q99460	PSMD1~Q99460	azurophil granule lumen	GO:0035578	UniProt
590	Q99460	PSMD1~Q99460	cytosol	GO:0005829	UniProt
591	Q99460	PSMD1~Q99460	extracellular region	GO:0005576	UniProt
592	Q99460	PSMD1~Q99460	membrane	GO:0016020	UniProt
593	Q99460	PSMD1~Q99460	nucleoplasm	GO:0005654	UniProt
594	Q99460	PSMD1~Q99460	nucleus	GO:0005634	UniProt
595	Q99460	PSMD1~Q99460	proteasome accessory complex	GO:0022624	UniProt
596	Q99460	PSMD1~Q99460	proteasome complex	GO:0000502	UniProt
597	Q99460	PSMD1~Q99460	proteasome regulatory particle	GO:0005838	UniProt
598	Q99460	PSMD1~Q99460	proteasome regulatory particle, base subcomplex	GO:0008540	UniProt
599	Q99460	PSMD1~Q99460	proteasome storage granule	GO:0034515	UniProt
600	A0A7I2V586	ACO2~A0A7I2V586	cytosol	GO:0005829	UniProt
601	A0A7I2V586	ACO2~A0A7I2V586	mitochondrion	GO:0005739	UniProt
602	A0A7I2V5S2	NPM1~A0A7I2V5S2	centrosome	GO:0005813	UniProt
603	A0A7I2V5S2	NPM1~A0A7I2V5S2	cytoplasm	GO:0005737	UniProt
604	A0A7I2V5S2	NPM1~A0A7I2V5S2	nucleolus	GO:0005730	UniProt
605	A0A7I2V5S2	NPM1~A0A7I2V5S2	nucleoplasm	GO:0005654	UniProt
606	A0A7I2V5S2	NPM1~A0A7I2V5S2	ribonucleoprotein complex	GO:1990904	UniProt
607	A0A7I2V5T4	ACO2~A0A7I2V5T4	cytosol	GO:0005829	UniProt
608	A0A7I2V5T4	ACO2~A0A7I2V5T4	mitochondrion	GO:0005739	UniProt
609	Q04637	EIF4G1~Q04637	cytoplasm	GO:0005737	UniProt
610	Q04637	EIF4G1~Q04637	cytoplasmic stress granule	GO:0010494	UniProt
611	Q04637	EIF4G1~Q04637	cytosol	GO:0005829	UniProt
612	Q04637	EIF4G1~Q04637	eukaryotic translation initiation factor 4F complex	GO:0016281	UniProt
613	Q04637	EIF4G1~Q04637	membrane	GO:0016020	UniProt
614	Q04637	EIF4G1~Q04637	nucleus	GO:0005634	UniProt
615	Q04637	EIF4G1~Q04637	postsynapse	GO:0098794	UniProt
616	Q04637	EIF4G1~Q04637	ribosome	GO:0005840	UniProt
617	A0A7I2YQA0	EIF3F~A0A7I2YQA0	eukaryotic translation initiation factor 3 complex, eIF3m	GO:0071541	UniProt
618	J3QR09	RPL19~J3QR09	cytosol	GO:0005829	UniProt
619	J3QR09	RPL19~J3QR09	cytosolic large ribosomal subunit	GO:0022625	UniProt
620	J3QR09	RPL19~J3QR09	nucleolus	GO:0005730	UniProt
621	Q13283	G3BP1~Q13283	cytoplasm	GO:0005737	UniProt
622	Q13283	G3BP1~Q13283	cytoplasmic stress granule	GO:0010494	UniProt
623	Q13283	G3BP1~Q13283	cytosol	GO:0005829	UniProt
624	Q13283	G3BP1~Q13283	focal adhesion	GO:0005925	UniProt
625	Q13283	G3BP1~Q13283	nucleus	GO:0005634	UniProt
626	Q13283	G3BP1~Q13283	perikaryon	GO:0043204	UniProt
627	Q13283	G3BP1~Q13283	ribonucleoprotein complex	GO:1990904	UniProt
628	H7C5L9	MRPS22~H7C5L9	mitochondrial small ribosomal subunit	GO:0005763	UniProt
629	H7C5L9	MRPS22~H7C5L9	mitochondrion	GO:0005739	UniProt
630	A0A7P0T861	CALR~A0A7P0T861	cell surface	GO:0009986	UniProt
631	A0A7P0T861	CALR~A0A7P0T861	cortical granule	GO:0060473	UniProt
632	A0A7P0T861	CALR~A0A7P0T861	cytosol	GO:0005829	UniProt
633	A0A7P0T861	CALR~A0A7P0T861	endoplasmic reticulum membrane	GO:0005789	UniProt
634	A0A7P0T861	CALR~A0A7P0T861	extracellular region	GO:0005576	UniProt
635	A0A7P0T861	CALR~A0A7P0T861	sarcoplasmic reticulum lumen	GO:0033018	UniProt
636	P43490	NAMPT~P43490	cell junction	GO:0030054	UniProt
637	P43490	NAMPT~P43490	cytosol	GO:0005829	UniProt
638	P43490	NAMPT~P43490	extracellular exosome	GO:0070062	UniProt
